,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5790,23B170034,53.0,73.2,36.9,0.494199991226196,20SS50 650175,20SS50,[],[],T,T,0.202,0.481,0.0065,0.0,0.026,0.091,0.037,0.059,0.012,0.0301,0.0,0.0014,0.0094,0.001,0.005,2022.008,54.20325,1832.0,1626.0,1166.0
5791,23B170038,49.8,70.9,36.9,0.494199991226196,20SS50 650175,20SS50,[],[],T,T,0.202,0.481,0.0065,0.0,0.026,0.091,0.037,0.059,0.012,0.0301,0.0,0.0014,0.0094,0.001,0.005,2015.276,54.22735,1826.0,1661.0,1182.0
5792,23B170041,50.6,71.0,34.02,0.489199995994568,20SS50 650175,20SS50,[],[],T,T,0.211,0.445,0.0049,0.0001,0.03,0.104,0.04,0.058,0.014,0.0262,0.0,0.0024,0.01,0.001,0.005,2019.02,54.21851,1830.0,1632.0,1169.0
5793,23B170046,49.9,73.9,29.36,0.370099991559982,20SS50 650175,20SS50,[],[],T,T,0.211,0.445,0.0049,0.0001,0.03,0.104,0.04,0.058,0.014,0.0262,0.0,0.0024,0.01,0.001,0.005,2034.176,54.21159,1839.0,1644.0,1176.0
5794,23B170049,54.6,76.2,29.58,0.370099991559982,20SS50 650175,20SS50,[],[],T,T,0.203,0.435,0.0048,0.0,0.039,0.1,0.04,0.04,0.013,0.0328,0.001,0.0016,0.0094,0.001,0.005,2047.478,54.2045,1839.0,1643.0,1167.0
5795,23B170055,48.7,72.1,30.8,0.369100004434586,20SS50 650175,20SS50,[],[],T,T,0.203,0.435,0.0048,0.0,0.039,0.1,0.04,0.04,0.013,0.0328,0.001,0.0016,0.0094,0.001,0.005,2033.384,54.20747,1837.0,1644.0,1166.0
5796,23B170061,56.9,75.2,34.37,0.502099990844727,20SS50 650175,20SS50,[],[],L,T,0.202,0.426,0.0044,0.0006,0.037,0.102,0.04,0.031,0.013,0.0313,0.001,0.0014,0.0079,0.001,0.005,2026.094,54.21666,1839.0,1644.0,1162.0
5797,23B170061,56.9,75.2,34.37,0.502099990844727,20SS50 650175,20SS50,[],[],T,T,0.202,0.426,0.0044,0.0006,0.037,0.102,0.04,0.031,0.013,0.0313,0.001,0.0014,0.0079,0.001,0.005,2026.094,54.21666,1839.0,1644.0,1162.0
5798,23B170063,54.8,77.8,27.57,0.306600004434586,20SS50 650175,20SS50,[],[],T,T,0.202,0.426,0.0044,0.0006,0.037,0.102,0.04,0.031,0.013,0.0313,0.001,0.0014,0.0079,0.001,0.005,2044.094,49.28373,1839.0,1650.0,1180.0
5799,23B170066,58.4,80.0,25.0,0.245100006461143,20SS50 650175,20SS50,[],[],T,T,0.204,0.432,0.0057,0.0028,0.021,0.099,0.04,0.033,0.012,0.0351,0.0,0.0013,0.0103,0.001,0.004,2032.16,49.28981,1826.0,1646.0,1175.0
5800,23B170074,51.9,78.7,25.67,0.244000002741814,20SS50 650175,20SS50,[],[],L,T,0.204,0.434,0.0045,0.0019,0.029,0.098,0.041,0.042,0.013,0.0338,0.0,0.0032,0.01,0.001,0.004,2068.754,49.27614,1835.0,1657.0,1173.0
5801,23B170074,57.0,78.73333333333333,25.573333333333334,0.244000002741814,20SS50 650175,20SS50,[],[],T,T,0.204,0.434,0.0045,0.0019,0.029,0.09800000000000002,0.041,0.042,0.013,0.0338,0.0,0.0032,0.01,0.001,0.004,2068.754,49.27614,1835.0,1657.0,1173.0
5802,23B170078,59.1,78.4,24.44,0.244000002741814,20SS50 650175,20SS50,[],[],T,T,0.204,0.434,0.0045,0.0019,0.029,0.098,0.041,0.042,0.013,0.0338,0.0,0.0032,0.01,0.001,0.004,2096.978,49.26248,1853.0,1653.0,1180.0
5803,23B170083,60.150000000000006,78.8,22.674999999999997,0.244000002741814,20SS50 650175,20SS50,[],[],T,T,0.214,0.43,0.0049,0.0005,0.038,0.097,0.04,0.033,0.011,0.0353,0.001,0.0011,0.0105,0.002,0.005,2125.76,49.23878,1850.0,1644.0,1169.0
5804,23B170088,59.2,80.0,23.105,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.214,0.43,0.0049,0.0005,0.038,0.097,0.04,0.033,0.011,0.0353,0.001,0.0011,0.0105,0.002,0.005,2085.206,49.25948,1842.0,1652.0,1176.0
5805,23B170091,58.9,79.7,23.17,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.204,0.45,0.0051,0.0029,0.028,0.098,0.039,0.044,0.012,0.0301,0.0,0.0028,0.0087,0.001,0.005,2081.858,49.26167,1851.0,1670.0,1171.0
5806,23B170096,58.9,79.2,25.93,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.204,0.45,0.0051,0.0029,0.028,0.098,0.039,0.044,0.012,0.0301,0.0,0.0028,0.0087,0.001,0.005,2126.894,49.2429,1850.0,1655.0,1162.0
5807,23B170099,57.3,79.6,25.08,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.204,0.438,0.0048,0.0014,0.027,0.091,0.037,0.036,0.01,0.0352,0.0,0.0016,0.008,0.001,0.004,2119.874,49.24247,1853.0,1648.0,1169.0
5808,23B170105,56.0,79.9,23.14,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.204,0.438,0.0048,0.0014,0.027,0.091,0.037,0.036,0.01,0.0352,0.0,0.0016,0.008,0.001,0.004,2113.466,49.24778,1853.0,1650.0,1167.0
5809,23B170108,55.7,78.1,23.54,0.244100004434586,20SS50 650175,20SS50,[],[],T,T,0.21,0.428,0.0046,0.0043,0.018,0.09,0.037,0.035,0.011,0.0273,0.0,0.0031,0.0094,0.001,0.004,2137.424,49.23662,1855.0,1648.0,1171.0
5810,23B170114,53.5,77.8,23.07,0.185900002717972,20SS50 650175,20SS50,[],[],T,T,0.21,0.428,0.0046,0.0043,0.018,0.09,0.037,0.035,0.011,0.0273,0.0,0.0031,0.0094,0.001,0.004,2121.728,44.33278,1855.0,1657.0,1166.0
5811,23B170117,52.2,76.9,26.3,0.18299999833107,20SS50 650175,20SS50,[],[],L,T,0.211,0.421,0.005,0.0045,0.024,0.094,0.038,0.034,0.01,0.0329,0.002,0.001,0.0086,0.001,0.005,2110.028,44.33073,1846.0,1652.0,1137.0
5812,23B170117,55.8,76.6,25.72,0.18299999833107,20SS50 650175,20SS50,[],[],T,T,0.211,0.421,0.005,0.0045,0.024,0.094,0.038,0.034,0.01,0.0329,0.002,0.001,0.0086,0.001,0.005,2110.028,44.33073,1846.0,1652.0,1137.0
